Producto,Categoria del Producto,Precio,Costo de Envio,Fecha de Compra,Vendedor,Lugar de Compra,Calificacion,Metodo de Pago,Cantidad de Cuotas,Latitud,Longitud
Dinosaurio Rex,Juguetes,18300,1400,1/7/2021,Blanca Ramirez,Medellin,4,Tarjeta de credito,6,6.25184,-75.56359
Cuerda para saltar,Deportes y diversion,12800,0,25/09/2021,Blanca Ramirez,Manizales,3,Tarjeta de credito,5,5.06889,-75.51738
Silla de oficina,Muebles,423500,20700,23/05/2022,Blanca Ramirez,Bogota,5,Cupon,1,4.60971,-74.08175
Impresora,Electronicos,315200,15000,1/9/2022,Beatriz Morales,Medellin,5,Tarjeta de credito,5,6.25184,-75.56359
Modelado predictivo,Libros,74100,2100,24/08/2020,Felipe Santos,Bogota,5,Tarjeta de debito,1,4.60971,-74.08175
Mesa de noche,Muebles,293800,16000,17/08/2021,Izabela de Leon,Bogota,5,Tarjeta de credito,1,4.60971,-74.08175
Iphone 15,Electronicos,2525400,135000,3/3/2023,Maria Alfonso,Medellin,4,Tarjeta de credito,1,6.25184,-75.56359
Secadora de ropa,Electrodomesticos,1200300,64100,2/1/2022,Camila Rivera,Medellin,4,Tarjeta de credito,1,6.25184,-75.56359
Modelado predictivo,Libros,53000,1000,31/03/2023,Izabela de Leon,Cali,3,Tarjeta de credito,3,3.43722,-76.5225
Kit de bancas,Muebles,250100,14600,9/9/2020,Rafael Acosta,Neiva,5,Tarjeta de credito,7,2.9273,-75.28189
Estufa,Electrodomesticos,680900,34400,5/6/2022,Beatriz Morales,Bogota,4,Tarjeta de credito,1,4.60971,-74.08175
Mochila,Deportes y diversion,111000,4100,1/2/2022,Juan Fernandez,Bogota,4,Nequi,1,4.60971,-74.08175
Tablet ABXY,Electronicos,1196000,61900,4/3/2023,Beatriz Morales,Medellin,5,Tarjeta de credito,10,6.25184,-75.56359
Balon de baloncesto,Deportes y diversion,45100,7100,28/01/2021,Santiago Silva,Bucaramanga,4,Cupon,1,7.12539,-73.1198
Mesa de noche,Muebles,284200,16400,17/07/2022,Rafael Acosta,Cali,3,Tarjeta de credito,1,3.43722,-76.5225
Armario,Muebles,490400,24300,6/9/2021,Camila Rivera,Bogota,5,Tarjeta de credito,3,4.60971,-74.08175
Auriculares con microfono,Electronicos,143600,7900,1/5/2020,Blanca Ramirez,Bogota,1,Tarjeta de credito,1,4.60971,-74.08175
Auriculares,Electronicos,139100,7600,28/10/2022,Rafael Acosta,Valledupar,2,Nequi,1,10.46314,-73.25322
Carrito de control remoto,Juguetes,84600,4900,2/11/2021,Pedro Gomez,Medellin,5,Tarjeta de credito,1,6.25184,-75.56359
Bateria,Instrumentos musicales,401900,19600,1/3/2023,Felipe Santos,Medellin,5,Tarjeta de credito,8,6.25184,-75.56359
Iphone 15,Electronicos,2172400,113900,11/9/2022,Lucas Olivera,Bogota,5,Nequi,1,4.60971,-74.08175
Sillon,Muebles,296400,14000,23/01/2021,Mariana Herrera,Barranquilla,4,Tarjeta de credito,4,10.96854,-74.78132
Silla de oficina,Muebles,368700,19800,10/12/2020,Juliana Costa,Bogota,1,Tarjeta de credito,8,4.60971,-74.08175
Juego de mesa,Juguetes,130800,5200,2/10/2021,Camila Rivera,Medellin,5,Tarjeta de credito,1,6.25184,-75.56359
Iphone 15,Electronicos,1396500,74800,23/04/2020,Blanca Ramirez,Medellin,5,Tarjeta de credito,9,6.25184,-75.56359
Balon de baloncesto,Deportes y diversion,42100,6900,27/10/2022,Lucas Olivera,Cartagena,5,Tarjeta de credito,2,10.39972,-75.51444
Muneca bebe,Juguetes,44800,2600,20/12/2020,Maria Alfonso,Pasto,5,Tarjeta de credito,10,1.21361,-77.28111
Set de vasos,Arti­culos para el hogar,35300,2300,23/07/2020,Angel Rodriguez,Bogota,4,Tarjeta de credito,1,4.60971,-74.08175
Silla de oficina,Muebles,444800,24100,5/5/2022,Santiago Silva,Medellin,5,Nequi,1,6.25184,-75.56359
Silla de oficina,Muebles,412500,20200,29/07/2021,Felipe Santos,Bogota,1,Tarjeta de credito,7,4.60971,-74.08175
Vaso termico,Deportes y diversion,59800,4200,30/12/2020,Juliana Costa,Bogota,5,Tarjeta de credito,3,4.60971,-74.08175
Muneca bebe,Juguetes,42000,0,22/01/2021,Izabela de Leon,Cali,2,Tarjeta de credito,7,3.43722,-76.5225
Impresora,Electronicos,288300,13500,16/05/2020,Rafael Acosta,Bogota,5,Nequi,1,4.60971,-74.08175
Guitarra acustica,Instrumentos musicales,434600,23500,28/06/2020,Rafael Acosta,Bogota,5,Tarjeta de credito,5,4.60971,-74.08175
Kit de bancas,Muebles,245600,11300,24/09/2021,Lucas Olivera,Valledupar,3,Tarjeta de credito,5,10.46314,-73.25322
Modelado predictivo,Libros,53800,1100,20/03/2023,Santiago Silva,Medellin,1,Tarjeta de credito,10,6.25184,-75.56359
Microondas,Electrodomesticos,722600,36700,30/09/2021,Angel Rodriguez,Cocuta,5,Nequi,1,7.89391,-72.50782
Olla de presion,Arti­culos para el hogar,78300,4600,27/09/2022,Mariana Herrera,Cali,5,Tarjeta de credito,10,3.43722,-76.5225
Mesa de comedor,Muebles,279300,15300,3/5/2022,Santiago Silva,Bogota,2,Tarjeta de credito,6,4.60971,-74.08175
Bicicleta,Deportes y diversion,475100,23500,13/12/2020,Juan Fernandez,Medellin,5,Tarjeta de credito,4,6.25184,-75.56359
Olla de presion,Arti­culos para el hogar,72600,2100,10/2/2022,Camila Rivera,Medellin,5,Tarjeta de credito,1,6.25184,-75.56359
Iniciando en programacion,Libros,49400,3300,1/4/2020,Rafael Acosta,Bogota,5,Tarjeta de credito,4,4.60971,-74.08175
Cuerda para saltar,Deportes y diversion,22800,7300,20/10/2020,Mariana Herrera,Medellin,5,Tarjeta de debito,1,6.25184,-75.56359
Muneca bebe,Juguetes,54600,1100,27/01/2022,Pedro Gomez,Bogota,4,Tarjeta de credito,1,4.60971,-74.08175
Dashboards con Power BI,Libros,33500,0,29/07/2021,Maria Alfonso,Bogota,5,Cupon,1,4.60971,-74.08175
Celular ABXY,Electronicos,701900,35600,11/1/2020,Juan Fernandez,Bogota,5,Nequi,1,4.60971,-74.08175
Secadora de ropa,Electrodomesticos,1438900,77300,6/2/2020,Lucas Olivera,Medellin,1,Tarjeta de credito,1,6.25184,-75.56359
Auriculares con microfono,Electronicos,55300,4000,4/7/2021,Maria Alfonso,Bogota,1,Tarjeta de credito,4,4.60971,-74.08175
Muneca bebe,Juguetes,53200,3100,28/12/2020,Juliana Costa,Riohacha,5,Tarjeta de credito,8,11.54444,-72.90722
Sillon,Muebles,222500,12400,14/02/2020,Beatriz Morales,Bogota,3,Nequi,1,4.60971,-74.08175
Bicicleta,Deportes y diversion,535900,29200,11/10/2021,Lucas Olivera,Bogota,3,Tarjeta de credito,1,4.60971,-74.08175
Smartwatch,Electronicos,172300,9400,11/2/2022,Santiago Silva,Bogota,5,Tarjeta de credito,8,4.60971,-74.08175
Ciencia de datos con Python,Libros,39700,2300,18/05/2022,Maria Alfonso,Bogota,5,Tarjeta de credito,10,4.60971,-74.08175
Vaso termico,Deportes y diversion,66900,5900,6/7/2022,Maria Alfonso,Bogota,4,Tarjeta de credito,1,4.60971,-74.08175
TV LED UHD 4K,Electronicos,2761500,147300,15/12/2020,Rafael Acosta,Bogota,5,Nequi,1,4.60971,-74.08175
Microondas,Electrodomesticos,555800,29800,4/12/2021,Maria Alfonso,Bogota,5,Tarjeta de credito,1,4.60971,-74.08175
Refrigerador,Electrodomesticos,2185100,114500,9/2/2020,Maria Alfonso,Bogota,1,Cupon,1,4.60971,-74.08175
Dashboards con Power BI,Libros,44400,0,15/04/2020,Angel Rodriguez,Cartagena,1,Tarjeta de credito,4,10.39972,-75.51444
Bloques de construccion,Juguetes,30900,0,5/3/2020,Juan Fernandez,Villavicencio,2,Nequi,1,4.142,-73.62664
TV LED UHD 4K,Electronicos,2824600,150600,7/9/2021,Mariana Herrera,Pasto,5,Tarjeta de credito,1,1.21361,-77.28111
Lavavajillas,Electrodomesticos,1527900,82000,4/8/2020,Felipe Santos,Bogota,2,Tarjeta de credito,2,4.60971,-74.08175
Mesa de centro,Muebles,182800,10100,25/11/2022,Mariana Herrera,Cali,5,Nequi,1,3.43722,-76.5225
Microondas,Electrodomesticos,714200,38400,27/07/2020,Pedro Gomez,Bogota,5,Tarjeta de credito,5,4.60971,-74.08175
Olla de presion,Arti­culos para el hogar,83300,2600,17/01/2020,Beatriz Morales,Medellin,1,Tarjeta de credito,10,6.25184,-75.56359
Vaso termico,Deportes y diversion,35000,2600,12/9/2020,Pedro Gomez,Medellin,5,Tarjeta de credito,2,6.25184,-75.56359
Cama king,Muebles,695100,37200,23/01/2022,Izabela de Leon,Bogota,4,Tarjeta de credito,5,4.60971,-74.08175
Modelado predictivo,Libros,69700,10500,15/04/2022,Beatriz Morales,Bogota,5,Tarjeta de credito,2,4.60971,-74.08175
Lavadora de ropa,Electrodomesticos,1356900,74600,2/1/2020,Mariana Herrera,Pasto,3,Tarjeta de credito,2,1.21361,-77.28111
Iphone 15,Electronicos,2351400,129900,17/02/2020,Camila Rivera,Bucaramanga,1,Tarjeta de credito,1,7.12539,-73.1198
Guitarra acustica,Instrumentos musicales,204600,9100,28/05/2020,Izabela de Leon,Cali,5,Tarjeta de credito,5,3.43722,-76.5225
TV LED UHD 4K,Electronicos,2910000,153100,2/7/2021,Juliana Costa,Medellin,5,Nequi,1,6.25184,-75.56359
Olla de presion,Arti­culos para el hogar,62400,1500,1/4/2020,Maria Alfonso,Medellin,1,Tarjeta de credito,2,6.25184,-75.56359
Secadora de ropa,Electrodomesticos,1090800,56300,1/9/2022,Angel Rodriguez,Bogota,4,Tarjeta de credito,1,4.60971,-74.08175
Sillon,Muebles,262500,14400,6/9/2022,Lucas Olivera,Medellin,5,Nequi,1,6.25184,-75.56359
Modelado predictivo,Libros,55600,4000,26/12/2020,Maria Alfonso,Cartagena,5,Tarjeta de credito,1,10.39972,-75.51444
TV LED UHD 4K,Electronicos,1927400,108500,17/11/2022,Camila Rivera,Bogota,5,Tarjeta de credito,4,4.60971,-74.08175
Dashboards con Power BI,Libros,30500,0,6/4/2020,Maria Alfonso,Bucaramanga,5,Tarjeta de credito,8,7.12539,-73.1198
Armario,Muebles,508100,25200,3/2/2023,Camila Rivera,Medellin,5,Tarjeta de credito,3,6.25184,-75.56359
Silla de oficina,Muebles,503700,27000,30/01/2020,Maria Alfonso,Medellin,5,Tarjeta de credito,3,6.25184,-75.56359
Auriculares con microfono,Electronicos,161600,9000,21/10/2022,Felipe Santos,Bogota,1,Tarjeta de credito,1,4.60971,-74.08175
TV LED UHD 4K,Electronicos,2872800,151200,5/2/2020,Lucas Olivera,Bogota,5,Nequi,1,4.60971,-74.08175
Set de vasos,Arti­culos para el hogar,34000,2000,26/10/2021,Juliana Costa,Pereira,1,Tarjeta de credito,2,4.81333,-75.69611
Bateria,Instrumentos musicales,677600,34300,24/07/2022,Maria Alfonso,Bogota,5,Tarjeta de credito,6,4.60971,-74.08175
Juego de mesa,Juguetes,150800,8200,24/02/2022,Izabela de Leon,Cali,5,Tarjeta de credito,2,3.43722,-76.5225
Cuerda para saltar,Deportes y diversion,22600,0,9/9/2021,Angel Rodriguez,Pereira,5,Nequi,1,4.81333,-75.69611
Auriculares con microfono,Electronicos,151300,8700,14/06/2021,Pedro Gomez,Medellin,5,Tarjeta de credito,5,6.25184,-75.56359
Tablet ABXY,Electronicos,903700,46300,30/10/2021,Camila Rivera,Cali,4,Nequi,1,3.43722,-76.5225
Ajedrez de madera,Juguetes,30300,0,13/04/2021,Rafael Acosta,Bucaramanga,5,Tarjeta de credito,6,7.12539,-73.1198
Armario,Muebles,452000,24300,12/2/2020,Rafael Acosta,Pereira,4,Tarjeta de credito,4,4.81333,-75.69611
Cubo magico 8x8,Juguetes,18600,1200,12/5/2021,Beatriz Morales,Armenia,5,Nequi,1,4.53389,-75.68111
Dinosaurio Rex,Juguetes,13600,1400,11/1/2022,Camila Rivera,Medellin,5,Nequi,1,6.25184,-75.56359
Set de vasos,Arti­culos para el hogar,35700,0,8/7/2022,Pedro Gomez,Pereira,5,Nequi,1,4.81333,-75.69611
Armario,Muebles,451500,22200,30/05/2020,Maria Alfonso,Bogota,3,Tarjeta de credito,3,4.60971,-74.08175
Set de vasos,Arti­culos para el hogar,28100,0,4/10/2022,Juliana Costa,Cali,1,Tarjeta de credito,10,3.43722,-76.5225
Bateria,Instrumentos musicales,546600,31500,15/12/2021,Felipe Santos,Medellin,5,Tarjeta de credito,2,6.25184,-75.56359
Carrito de control remoto,Juguetes,57100,1200,13/02/2023,Juan Fernandez,Cali,3,Tarjeta de credito,2,3.43722,-76.5225
Muneca bebe,Juguetes,42900,0,3/2/2021,Blanca Ramirez,Cali,5,Nequi,1,3.43722,-76.5225
Sofa reclinable,Muebles,712900,36100,10/11/2022,Camila Rivera,Cali,1,Tarjeta de credito,5,3.43722,-76.5225
Bloques de construccion,Juguetes,27000,1800,21/01/2023,Izabela de Leon,Bogota,5,Tarjeta de credito,10,4.60971,-74.08175
Mesa de noche,Muebles,321000,15300,24/10/2021,Lucas Olivera,Bogota,2,Tarjeta de credito,10,4.60971,-74.08175
Cama king,Muebles,658200,39800,22/03/2022,Juliana Costa,Barranquilla,1,Tarjeta de credito,2,10.96854,-74.78132
Refrigerador,Electrodomesticos,2461500,135700,29/09/2022,Juliana Costa,Medellin,5,Tarjeta de credito,6,6.25184,-75.56359
Vaso termico,Deportes y diversion,29500,7400,18/12/2020,Pedro Gomez,Bogota,5,Tarjeta de credito,5,4.60971,-74.08175
Cuberteria,Arti­culos para el hogar,53100,1000,26/03/2022,Juan Fernandez,Bogota,2,Tarjeta de credito,5,4.60971,-74.08175
Cuerda para saltar,Deportes y diversion,8600,900,17/08/2022,Beatriz Morales,Bogota,5,Tarjeta de credito,1,4.60971,-74.08175
Cama box,Muebles,590200,29600,18/01/2022,Maria Alfonso,Bogota,5,Nequi,1,4.60971,-74.08175
Silla de oficina,Muebles,514600,29800,15/09/2021,Rafael Acosta,Cartagena,5,Tarjeta de credito,10,10.39972,-75.51444
Mesa de centro,Muebles,208200,11300,1/5/2022,Lucas Olivera,Pereira,5,Tarjeta de credito,1,4.81333,-75.69611
Cuerda para saltar,Deportes y diversion,10000,900,6/11/2020,Mariana Herrera,Medellin,1,Tarjeta de credito,1,6.25184,-75.56359
Set de ollas,Arti­culos para el hogar,108100,6200,8/2/2021,Izabela de Leon,Medellin,1,Tarjeta de credito,3,6.25184,-75.56359
Modelado predictivo,Libros,64100,3600,22/06/2020,Blanca Ramirez,Medellin,5,Tarjeta de credito,3,6.25184,-75.56359
Vaso termico,Deportes y diversion,65000,3700,9/3/2021,Mariana Herrera,Bogota,1,Cupon,1,4.60971,-74.08175
Mesa de centro,Muebles,157700,8600,6/7/2021,Felipe Santos,Santa Marta,5,Tarjeta de credito,12,11.24079,-74.19904
Mesa de noche,Muebles,271900,14900,24/11/2022,Mariana Herrera,Bogota,3,Nequi,1,4.60971,-74.08175
Smart TV,Electronicos,1796000,96700,18/03/2020,Pedro Gomez,Cali,4,Tarjeta de credito,4,3.43722,-76.5225
Olla de presion,Arti­culos para el hogar,70900,2000,1/4/2021,Juliana Costa,Cartagena,5,Tarjeta de credito,10,10.39972,-75.51444
Armario,Muebles,450700,24700,29/08/2021,Blanca Ramirez,Medellin,1,Tarjeta de credito,2,6.25184,-75.56359
Bloques de construccion,Juguetes,32300,0,28/03/2020,Lucas Olivera,Bogota,5,Nequi,1,4.60971,-74.08175
Balon de baloncesto,Deportes y diversion,59600,1400,12/11/2022,Lucas Olivera,Bogota,4,Tarjeta de debito,1,4.60971,-74.08175
Set de vasos,Arti­culos para el hogar,40800,2600,6/2/2022,Juliana Costa,Pereira,5,Nequi,1,4.81333,-75.69611
Cuberteria,Arti­culos para el hogar,54600,4000,26/02/2020,Mariana Herrera,Bogota,5,Tarjeta de debito,1,4.60971,-74.08175
Lavadora de ropa,Electrodomesticos,1570900,81800,16/06/2022,Pedro Gomez,Medellin,5,Tarjeta de credito,3,6.25184,-75.56359
Iphone 15,Electronicos,1881900,100400,22/04/2021,Pedro Gomez,Bogota,5,Tarjeta de credito,2,4.60971,-74.08175
Lavadora de ropa,Electrodomesticos,1307000,69800,4/12/2021,Juliana Costa,Medellin,5,Tarjeta de credito,6,6.25184,-75.56359
Juego de mesa,Juguetes,163400,6900,6/6/2022,Maria Alfonso,Bogota,5,Tarjeta de credito,1,4.60971,-74.08175
Muneca bebe,Juguetes,46700,2900,5/11/2020,Felipe Santos,Leticia,5,Tarjeta de credito,1,-4.21528,-69.94056
Kit de bancas,Muebles,272000,12700,14/02/2023,Camila Rivera,Pereira,4,Tarjeta de credito,10,4.81333,-75.69611
Mesa de comedor,Muebles,217000,9700,14/09/2021,Pedro Gomez,Pereira,1,Cupon,1,4.81333,-75.69611
Balon de voleibol,Deportes y diversion,48800,800,3/3/2022,Maria Alfonso,Bogota,5,Nequi,1,4.60971,-74.08175
Cuberteria,Arti­culos para el hogar,34600,4200,26/10/2020,Angel Rodriguez,Bogota,4,Tarjeta de credito,1,4.60971,-74.08175
Dashboards con Power BI,Libros,44000,2700,8/4/2021,Maria Alfonso,Cocuta,3,Tarjeta de credito,1,7.89391,-72.50782
Set de vasos,Arti­culos para el hogar,39800,2500,21/04/2022,Camila Rivera,Bogota,1,Tarjeta de credito,1,4.60971,-74.08175
Sofa reclinable,Muebles,646900,34800,27/07/2020,Mariana Herrera,Medellin,5,Tarjeta de credito,1,6.25184,-75.56359
Mochila,Deportes y diversion,107000,8100,26/04/2022,Izabela de Leon,Bogota,5,Tarjeta de credito,1,4.60971,-74.08175
Mesa de noche,Muebles,269600,20000,8/1/2021,Angel Rodriguez,Bogota,5,Tarjeta de credito,1,4.60971,-74.08175
Juego de mesa,Juguetes,193400,8500,1/11/2022,Juan Fernandez,Cali,5,Nequi,1,3.43722,-76.5225
Mesa de noche,Muebles,288700,15600,27/07/2021,Santiago Silva,Bogota,4,Tarjeta de credito,6,4.60971,-74.08175
Bloques de construccion,Juguetes,40200,0,2/1/2023,Rafael Acosta,Bogota,5,Tarjeta de credito,1,4.60971,-74.08175
Sillon,Muebles,202200,11000,2/6/2020,Juan Fernandez,Bogota,5,Tarjeta de credito,10,4.60971,-74.08175
Impresora,Electronicos,362100,19500,26/05/2020,Juan Fernandez,Medellin,1,Tarjeta de credito,1,6.25184,-75.56359
Ajedrez de madera,Juguetes,37500,4400,20/03/2023,Izabela de Leon,Bucaramanga,5,Tarjeta de credito,6,7.12539,-73.1198
Muneca bebe,Juguetes,50900,3100,4/10/2022,Rafael Acosta,Bogota,5,Tarjeta de credito,2,4.60971,-74.08175
Guitarra electrica,Instrumentos musicales,841100,47200,10/5/2022,Lucas Olivera,Bogota,1,Tarjeta de credito,4,4.60971,-74.08175
Kit de bancas,Muebles,336000,16100,13/03/2021,Maria Alfonso,Medellin,5,Tarjeta de credito,1,6.25184,-75.56359
Cubo magico 8x8,Juguetes,20500,1500,27/02/2022,Maria Alfonso,Medellin,5,Nequi,1,6.25184,-75.56359
Bateria,Instrumentos musicales,911600,48900,13/09/2022,Pedro Gomez,Bogota,5,Tarjeta de credito,1,4.60971,-74.08175
Set de vasos,Arti­culos para el hogar,32400,2100,23/07/2020,Felipe Santos,Bogota,4,Tarjeta de credito,1,4.60971,-74.08175
Armario,Muebles,473800,31100,26/01/2023,Izabela de Leon,Bogota,4,Tarjeta de credito,3,4.60971,-74.08175
Refrigerador,Electrodomesticos,1879300,98300,14/05/2022,Juliana Costa,Bogota,3,Tarjeta de debito,1,4.60971,-74.08175
Cubo magico 8x8,Juguetes,11700,0,20/08/2021,Juliana Costa,Cali,5,Tarjeta de credito,9,3.43722,-76.5225
